,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
32,2019,33,0,30,0,-21,16,68.8,7.7429676,0,0
33,2019,34,0,23,0,-20,10,69.1,7.522844,0,0
34,2019,35,0,13,0,-19,5,68.7,6.9622808,0,0
35,2019,36,0,10,0,-12,5,68.7,7.8329735,0,0
36,2019,37,0,20,0,-12,8,67.9,7.0612774,0,0
37,2019,38,0,10,0,-12,4,68.3,7.4609685,0,0
38,2019,39,0,17,0,-14,8,68.1,7.437044,0,0
39,2019,40,0,20,0,-11,9,68.4,7.7418866,0,0
40,2019,41,0,13,0,-8,5,68.1,7.236369,0,0
41,2019,42,0,20,0,-8,8,68.0,7.096218,0,0
42,2019,43,0,10,0,-7,4,68.4,7.9164577,0,0
43,2019,44,0,27,12,-12,13,68.6,7.9821334,0,0
44,2019,45,0,20,0,-10,9,69.7,8.081207,0,0
45,2019,46,0,7,0,-8,3,69.2,7.8321238,0,0
46,2019,47,0,7,0,-6,3,69.0,7.346093,0,0
47,2019,48,0,7,0,-4,3,68.4,7.5927267,0,0
48,2019,49,0,13,0,-7,6,68.3,8.046691,0,0
49,2019,50,0,3,0,-7,2,68.6,7.7944627,0,0
50,2019,51,0,7,0,4,3,69.4,7.84536,0,0
51,2019,52,0,23,11,-3,10,69.2,8.23224,0,0
52,2019,53,0,7,0,-7,3,69.7,8.873452,0,0
53,2019,54,0,3,0,1,2,69.2,8.284199,0,0
54,2019,55,0,3,0,1,1,69.0,7.9518814,0,0
55,2019,56,0,3,0,3,1,68.9,7.829867,0,0
56,2019,57,0,3,0,1,2,69.2,7.689311,0,0
57,2019,58,0,20,0,0,11,69.4,7.9499903,0,0
58,2019,59,0,37,0,-22,23,68.8,8.6959095,0,0
59,2019,60,0,37,0,-23,23,68.7,8.656878,0,0
60,2019,61,0,27,0,-20,13,68.2,8.405016,0,0
61,2019,62,0,13,0,-15,6,68.3,8.03251,0,0
62,2019,63,0,17,0,-19,6,69.7,7.771059,0,0
63,2019,64,0,10,14,-11,4,70.8,7.999286,0,0
64,2019,65,0,17,18,-8,7,71.3,7.6861277,0,0
65,2019,66,0,13,16,-6,6,69.9,8.097647,0,0
66,2019,67,0,10,11,-9,4,70.7,8.635867,0,0
67,2019,68,0,10,11,-4,4,69.7,8.101679,0,0
68,2019,69,0,7,11,-8,3,70.1,8.1164,0,0
69,2019,70,0,3,11,-1,2,69.5,8.459849,0,0
70,2019,71,0,17,11,-9,6,69.8,7.932066,0,0
71,2019,72,0,7,0,-7,4,70.0,8.063786,0,0
72,2019,73,0,17,12,-5,7,69.3,8.334208,0,0
73,2019,74,0,17,0,-7,7,68.9,8.94125,0,0
74,2019,75,0,23,0,-11,12,68.8,8.0917425,0,0
75,2019,76,0,27,0,-27,15,68.6,9.026645,0,0
76,2019,77,0,3,13,-8,2,69.3,8.426105,0,0
77,2019,78,0,17,15,2,6,69.1,8.019564,0,0
78,2019,79,0,13,32,-1,5,76.2,8.213968,0,0
79,2019,80,0,3,38,1,2,79.4,8.260602,0,0
80,2019,81,0,3,30,3,1,81.8,8.233128,0,0
81,2019,82,0,3,22,5,1,78.9,8.124889,0,0
82,2019,83,0,3,14,10,1,75.0,8.370461,0,0
83,2019,84,0,10,0,12,4,70.8,7.9394174,0,0
84,2019,85,0,10,0,4,4,68.7,8.332395,0,0
85,2019,86,0,17,0,0,6,68.6,8.146171,0,0
86,2019,87,0,23,0,-3,9,68.1,8.098226,0,0
87,2019,88,0,17,0,-3,6,68.6,8.487073,0,0
88,2019,89,0,7,0,-2,3,69.2,7.6659074,0,0
89,2019,90,0,20,13,-7,9,69.4,7.7713876,0,0
90,2019,91,0,17,14,-15,6,69.2,8.097897,0,0
91,2019,92,0,13,17,-11,6,70.8,8.1461315,0,0
92,2019,93,0,23,19,-19,10,70.6,8.377194,0,0
93,2019,94,0,23,11,-22,10,70.3,8.33552,0,0
94,2019,95,0,27,5,-17,12,71.8,7.6731424,0,0
95,2019,96,0,17,0,-12,7,73.7,8.304051,0,0
96,2019,97,0,10,11,-11,4,76.6,8.5026245,0,0
97,2019,98,0,27,12,-14,11,78.8,8.919063,0,0
98,2019,99,0,23,12,-12,9,79.3,9.078565,0,0
99,2019,100,0,27,13,-19,14,78.4,9.689388,0,0
100,2019,101,0,17,12,-10,6,78.9,8.814856,0,0
101,2019,102,0,17,13,-14,7,77.7,8.877986,0,0
102,2019,103,0,17,16,-8,7,78.3,8.940652,0,0
103,2019,104,0,10,14,-4,4,75.9,8.365098,0,0
104,2019,105,0,17,12,-4,6,75.9,8.216998,0,0
105,2019,106,0,13,11,-9,5,74.7,8.356667,0,0
106,2019,107,0,7,16,-4,3,76.7,8.068513,0,0
107,2019,108,0,3,24,0,2,75.2,8.469959,0,0
108,2019,109,0,10,24,2,4,73.3,7.9075627,0,0
109,2019,110,0,10,11,3,4,70.6,8.09726,0,0
110,2019,111,0,7,5,-3,3,69.9,8.00627,0,0
111,2019,112,0,7,0,2,3,70.2,8.102933,0,0
112,2019,113,0,13,0,1,7,69.6,7.8941536,0,0
113,2019,114,0,17,0,-7,6,70.1,8.443489,0,0
114,2019,115,0,13,0,-2,4,68.4,7.8515725,0,0
115,2019,116,0,7,0,-4,3,68.0,7.480069,0,0
116,2019,117,0,13,0,-10,5,67.8,7.528285,0,0
117,2019,118,0,10,0,-2,4,68.8,7.771812,0,0
118,2019,119,0,10,0,-3,4,67.9,7.4453983,0,0
119,2019,120,0,10,0,-4,4,69.5,7.389716,0,0
120,2019,121,0,20,0,0,11,68.7,7.4665637,0,0
121,2019,122,0,23,0,-12,11,70.3,8.073761,0,0
122,2019,123,0,17,0,-9,7,70.9,7.0083733,0,0
123,2019,124,0,20,12,-11,8,73.5,7.5292106,0,0
124,2019,125,0,7,12,-7,3,74.7,7.262744,0,0
125,2019,126,0,10,16,-4,4,77.3,7.327436,0,0
126,2019,127,0,10,26,-2,4,80.1,7.7835035,0,0
127,2019,128,0,3,25,8,2,76.8,7.960351,0,0
128,2019,129,0,17,26,7,6,77.7,7.9092607,0,0
129,2019,130,0,17,26,-2,7,77.8,7.952055,0,0
130,2019,131,0,37,27,-37,24,79.5,8.620992,0,0
131,2019,132,0,10,26,-17,4,77.6,8.104611,0,0
132,2019,133,0,13,24,-10,6,76.2,7.4984565,0,0
133,2019,134,0,37,24,-37,32,76.0,7.762512,0,0
134,2019,135,0,13,18,-8,5,75.6,7.308798,0,0
135,2019,136,0,17,13,-6,7,75.3,8.162666,0,0
136,2019,137,0,10,13,-3,4,73.8,7.8666024,0,0
137,2019,138,0,10,12,-8,4,72.2,7.2433724,0,0
138,2019,139,0,7,0,-2,2,69.6,6.6277833,0,0
139,2019,140,0,13,0,-3,5,70.4,7.0588846,0,0
140,2019,141,0,7,0,-5,3,69.7,6.6271663,0,0
141,2019,142,0,10,0,7,4,69.0,6.4085474,0,0
142,2019,143,0,10,0,1,4,68.2,6.65055,0,0
