,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
2828,20210929,0+,0,1-,1+,2,1,2-,1+,8+,2,0,3,5,7.0,4.0,6.0,5.0,4.0
2829,20210930,1+,0,0,1-,1,3-,4,2+,12,5,0,0,3,4.0,12.0,27.0,9.0,8.0
2830,20211001,3,2+,4-,3+,3+,2+,2-,0,20-,15,9,22,18,18.0,9.0,6.0,0.0,12.0
2831,20211002,0,0,1-,4,3,2+,1,0,11,0,0,3,27,15.0,9.0,4.0,0.0,7.0
2832,20211003,0,2,1,2-,2-,1+,1,2,11-,0,7,4,6,6.0,5.0,4.0,7.0,5.0
2833,20211004,3-,1+,1-,1-,0+,1-,0+,2-,8+,12,5,3,3,2.0,3.0,2.0,6.0,4.0
2834,20211005,2+,3-,0+,0+,1-,0+,0+,1,8,9,12,2,2,3.0,2.0,2.0,4.0,4.0
2835,20211006,2,2-,1+,2,2+,3,3-,1-,16-,7,6,5,7,9.0,15.0,12.0,3.0,8.0
2836,20211007,1-,0+,0+,1-,1,1+,1-,0,5,3,2,2,3,4.0,5.0,3.0,0.0,3.0
2837,20211008,2,1+,1-,0+,0+,0,1,0+,6,7,5,3,2,2.0,0.0,4.0,2.0,3.0
2838,20211009,1+,1+,1-,1,2-,1-,1-,1-,8,5,5,3,4,6.0,3.0,3.0,3.0,4.0
2839,20211010,0+,2-,1,1+,3-,2+,2+,5-,16+,2,6,4,5,12.0,9.0,9.0,39.0,11.0
2840,20211011,3+,3+,3-,2,3-,1+,3+,4-,22+,18,18,12,7,12.0,5.0,18.0,22.0,14.0
2841,20211012,5,6,5-,6+,5-,4+,3+,3+,38-,48,80,39,94,39.0,32.0,18.0,18.0,46.0
2842,20211013,3+,2,1-,0,0+,1-,1-,1-,8+,18,7,3,0,2.0,3.0,3.0,3.0,5.0
2843,20211014,2,2,1,2,1+,1+,2+,2,14,7,7,4,7,5.0,5.0,9.0,7.0,6.0
2844,20211015,2-,2-,1+,1+,0,0,0+,2+,9-,6,6,5,5,0.0,0.0,2.0,9.0,4.0
2845,20211016,3,2,1-,1+,0,1+,1,0+,10-,15,7,3,5,0.0,5.0,4.0,2.0,5.0
2846,20211017,0+,1,1,2+,2,2+,4,4-,17-,2,4,4,9,7.0,9.0,27.0,22.0,10.0
2847,20211018,3+,3-,2-,1-,2,2-,2,3-,17-,18,12,6,3,7.0,6.0,7.0,12.0,9.0
2848,20211019,2+,3,2-,1,2,4,4,1+,19+,9,15,6,4,7.0,27.0,27.0,5.0,12.0
2849,20211020,1,2+,1-,1-,2-,1+,1+,2,11,4,9,3,3,6.0,5.0,5.0,7.0,5.0
2850,20211021,2-,2-,1+,1,1-,2-,1,2,11,6,6,5,4,3.0,6.0,4.0,7.0,5.0
2851,20211022,1-,0,0+,0+,2-,0+,1-,1+,5+,3,0,2,2,6.0,2.0,3.0,5.0,3.0
2852,20211023,2-,0,0+,0+,0+,0+,1,0+,4+,6,0,2,2,2.0,2.0,4.0,2.0,2.0
2853,20211024,1-,1-,0+,1-,1,2-,1,1-,7-,3,3,2,3,4.0,6.0,4.0,3.0,4.0
2854,20211025,1-,1+,1-,0+,1,2+,1,1-,8,3,5,3,2,4.0,9.0,4.0,3.0,4.0
2855,20211026,1+,2-,1-,1-,1-,1-,0+,2+,8+,5,6,3,3,3.0,3.0,2.0,9.0,4.0
2856,20211027,1-,0,0,0+,1,0+,1-,0+,3+,3,0,0,2,4.0,2.0,3.0,2.0,2.0
2857,20211028,0,0,0,0,0,1+,0+,0,2-,0,0,0,0,0.0,5.0,2.0,0.0,1.0
2858,20211029,0,0,0,0,0,1-,0+,1+,2+,0,0,0,0,0.0,3.0,2.0,5.0,1.0
2859,20211030,2,3-,2+,1-,1-,2-,2-,4-,15+,7,12,9,3,3.0,6.0,6.0,22.0,8.0
2860,20211031,2+,2+,0+,3,4,2+,3,4,21+,9,9,2,15,27.0,9.0,15.0,27.0,14.0
2861,20211101,2+,3-,1,2-,1-,1-,3-,3+,15,9,12,4,6,3.0,3.0,12.0,18.0,8.0
2862,20211102,3+,5-,3-,4-,3+,2+,3-,2,25-,18,39,12,22,18.0,9.0,12.0,7.0,17.0
2863,20211103,3-,1,1+,1-,1,1-,4,6+,18-,12,4,5,3,4.0,3.0,27.0,94.0,19.0
2864,20211104,6+,6-,7,8-,6-,4-,2-,2,40-,94,67132179,67,22,6.0,7.0,72.0,,
2865,20211105,1+,3+,2-,1-,2+,4-,3,3-,19-,5,18,6,3,9.0,22.0,15.0,12.0,11.0
2866,20211106,4,3,3,3+,2-,4-,3,3,25-,27,15,15,18,6.0,22.0,15.0,15.0,17.0
2867,20211107,4,1,0+,0+,0+,0+,0+,0,7-,27,4,2,2,2.0,2.0,2.0,0.0,5.0
2868,20211108,0,0,0,1-,1+,1,2,3,8,0,0,0,3,5.0,4.0,7.0,15.0,4.0
2869,20211109,2-,1+,2-,1-,1-,1-,2+,3-,12-,6,5,6,3,3.0,3.0,9.0,12.0,6.0
2870,20211110,3,1+,2+,1+,1,1-,1+,0+,11+,15,5,9,5,4.0,3.0,5.0,2.0,6.0
2871,20211111,0+,0,1-,1+,2,1+,1-,0+,7-,2,0,3,5,7.0,5.0,3.0,2.0,3.0
2872,20211112,1,2-,1-,0,0,0+,0,1-,4+,4,6,3,0,0.0,2.0,0.0,3.0,2.0
2873,20211113,0,0+,0,0+,0,0+,0+,1-,2,0,2,0,2,0.0,2.0,2.0,3.0,1.0
2874,20211114,1,1-,0,0+,1-,1-,0+,1,5-,4,3,0,2,3.0,3.0,2.0,4.0,3.0
2875,20211115,0,0,0+,0+,1,2-,4,4,11+,0,0,2,2,4.0,6.0,27.0,27.0,8.0
2876,20211116,3+,4,3-,2+,2,2+,2-,2,20+,18,27,12,9,7.0,9.0,6.0,7.0,12.0
2877,20211117,3+,2+,3+,3,2-,2,2,3-,20+,18,9,18,15,6.0,7.0,7.0,12.0,12.0
2878,20211118,2,2+,1+,1,0+,1,0+,1,9+,7,9,5,4,2.0,4.0,2.0,4.0,5.0
2879,20211119,1+,0+,1-,1-,2-,2-,1+,1+,9,5,2,3,3,6.0,6.0,5.0,5.0,4.0
2880,20211120,2+,1,1+,2,2+,3+,2+,3-,17+,9,4,5,7,9.0,18.0,9.0,12.0,9.0
2881,20211121,3,3-,2,3-,3-,3+,2+,3-,21+,15,12,7,12,12.0,18.0,9.0,12.0,12.0
2882,20211122,3,3,0+,1,1,2,2+,2+,15,15,15,2,4,4.0,7.0,9.0,9.0,8.0
2883,20211123,2-,2+,1+,3,2-,3-,2,2+,17,6,9,5,15,6.0,12.0,7.0,9.0,9.0
2884,20211124,2-,2-,1+,1,1-,1-,0+,1,8+,6,6,5,4,3.0,3.0,2.0,4.0,4.0
2885,20211125,1+,2+,1,1,1-,1-,1-,1-,8+,5,9,4,4,3.0,3.0,3.0,3.0,4.0
2886,20211126,0+,1-,1-,0+,0+,1+,0,0+,4,2,3,3,2,2.0,5.0,0.0,2.0,2.0
2887,20211127,0,0+,0+,0+,1-,1-,1-,3,6,0,2,2,2,3.0,3.0,3.0,15.0,4.0
2888,20211128,3,3,2-,1+,1-,1,2-,3+,16-,15,15,6,5,3.0,4.0,6.0,18.0,9.0
2889,20211129,4-,3+,1-,1-,1-,1-,2,1,13-,22,18,3,3,3.0,3.0,7.0,4.0,8.0
2890,20211130,0+,0,1-,0+,0+,1,2,5+,10,2,0,3,2,2.0,4.0,7.0,56.0,10.0
2891,20211201,4,4-,3-,2+,3,3+,3,4-,26-,27,22,12,9,15.0,18.0,15.0,22.0,18.0
2892,20211202,2+,2-,3,1+,2-,3-,3-,2,17+,9,6,15,5,6.0,12.0,12.0,7.0,9.0
2893,20211203,1-,1-,0+,2,2+,3,3+,2,14+,3,3,2,7,9.0,15.0,18.0,7.0,8.0
2894,20211204,3,2+,2+,1-,1-,1,2,1-,13-,15,9,9,3,3.0,4.0,7.0,3.0,7.0
2895,20211205,1+,2,0+,1,1+,3,3-,2+,14,5,7,2,4,5.0,15.0,12.0,9.0,7.0
2896,20211206,2,1-,2-,1+,2-,3-,2-,2-,13+,7,3,6,5,6.0,12.0,6.0,6.0,6.0
2897,20211207,2+,1+,0+,0,0+,1+,1-,0+,7-,9,5,2,0,2.0,5.0,3.0,2.0,4.0
2898,20211208,1,1-,2-,1+,0+,1-,0+,1,7,4,3,6,5,2.0,3.0,2.0,4.0,4.0
2899,20211209,1-,1-,0,0,0+,1-,0,0,2+,3,3,0,0,2.0,3.0,0.0,0.0,1.0
2900,20211210,0,0+,0+,0+,0+,1,1-,2-,5-,0,2,2,2,2.0,4.0,3.0,6.0,3.0
2901,20211211,2,3+,1,0,0,0,0+,0+,7,7,18,4,0,0.0,0.0,2.0,2.0,4.0
2902,20211212,1,1+,0,0,0,1,1+,0+,5,4,5,0,0,0.0,4.0,5.0,2.0,2.0
2903,20211213,0+,3-,2,2-,0,0,0+,0+,7+,2,12,7,6,0.0,0.0,2.0,2.0,4.0
2904,20211214,1+,1+,1+,1-,1-,1+,1,1,9-,5,5,5,3,3.0,5.0,4.0,4.0,4.0
2905,20211215,1,2,2,3-,2+,3+,2-,2-,17-,4,7,7,12,9.0,18.0,6.0,6.0,9.0
2906,20211216,2-,2+,3,2,1,1+,2-,2,15,6,9,15,7,4.0,5.0,6.0,7.0,7.0
2907,20211217,2-,1,1-,0+,0+,0+,0,0+,5-,6,4,3,2,2.0,2.0,0.0,2.0,3.0
2908,20211218,0+,0,0+,0+,1,1,2-,1-,5+,2,0,2,2,4.0,4.0,6.0,3.0,3.0
2909,20211219,0+,0,0,1-,2,4-,4,5,16-,2,0,0,3,7.0,22.0,27.0,48.0,14.0
2910,20211220,4-,3,2+,3+,2+,3,2,3-,22+,22,15,9,18,9.0,15.0,7.0,12.0,13.0
2911,20211221,4-,2-,2-,1-,2+,2+,3-,1,16,22,6,6,3,9.0,9.0,12.0,4.0,9.0
2912,20211222,2,2+,2,2,3,2,3,2+,19-,7,9,7,7,15.0,7.0,15.0,9.0,10.0
2913,20211223,2+,0,0+,1-,1-,0+,1+,1,7-,9,0,2,3,3.0,2.0,5.0,4.0,4.0
2914,20211224,1-,1-,1-,1+,1,1,2-,2+,9+,3,3,3,5,4.0,4.0,6.0,9.0,5.0
2915,20211225,1+,1,2,2-,3-,2,2-,1-,13,5,4,7,6,12.0,7.0,6.0,3.0,6.0
2916,20211226,1-,0+,0,1,0+,0+,2-,1-,5,3,2,0,4,2.0,2.0,6.0,3.0,3.0
2917,20211227,2-,1+,2+,2+,4,3-,2,1-,17,6,5,9,9,27.0,12.0,7.0,3.0,10.0
2918,20211228,2+,3-,3-,2-,2-,2+,1-,0+,14+,9,12,12,6,6.0,9.0,3.0,2.0,7.0
2919,20211229,1,2,1-,1,1+,2,1+,2+,12-,4,7,3,4,5.0,7.0,5.0,9.0,6.0
2920,20211230,3,2+,2-,2+,2+,1+,1+,0+,15-,15,9,6,9,9.0,5.0,5.0,2.0,8.0
2921,20211231,0,0+,1,0+,1+,2,1-,1,7-,0,2,4,2,5.0,7.0,3.0,4.0,3.0
2922,20220101,2+,4,2+,2-,2-,3,3,1+,19+,9,27,9,6,6.0,15.0,15.0,5.0,12.0
2923,20220102,3,2-,1+,1+,1,2+,2+,3+,16+,15,6,5,5,4.0,9.0,9.0,18.0,9.0
2924,20220103,2,4,3+,3,2,1+,2-,2,19+,7,27,18,15,7.0,5.0,6.0,7.0,12.0
2925,20220104,2+,3,1-,1+,1-,0,0+,0+,9-,9,15,3,5,3.0,0.0,2.0,2.0,5.0
2926,20220105,1-,2+,0,0,1-,1+,0,0,5,3,9,0,0,3.0,5.0,0.0,0.0,2.0
2927,20220106,0,0,0,0,0,0,0+,0,0+,0,0,0,0,0.0,0.0,2.0,0.0,0.0
2928,20220107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2929,20220108,0,0,1,1-,1,1+,5,5-,14-,0,0,4,3,4.0,5.0,48.0,39.0,13.0
2930,20220109,3,2+,2,1-,2,1+,2,3-,16,15,9,7,3,7.0,5.0,7.0,12.0,8.0
2931,20220110,2+,2,0+,0+,1,2,2+,2-,12,9,7,2,2,4.0,7.0,9.0,6.0,6.0
2932,20220111,1-,1+,1-,1,1+,2,1-,0,8-,3,5,3,4,5.0,7.0,3.0,0.0,4.0
2933,20220112,0+,1,0,0,1-,1,1+,1,5+,2,4,0,0,3.0,4.0,5.0,4.0,3.0
2934,20220113,1,0,0,0+,0+,0+,1,1,4,4,0,0,2,2.0,2.0,4.0,4.0,2.0
2935,20220114,0,0,0+,1,2,3-,4,6-,16-,0,0,2,4,7.0,12.0,27.0,67.0,15.0
2936,20220115,4+,4-,2+,2-,3-,3,4,5-,26+,32,22,9,6,12.0,15.0,27.0,39.0,20.0
2937,20220116,4-,3+,2+,3-,2+,3-,4+,3,24+,22,18,9,12,9.0,12.0,32.0,15.0,16.0
2938,20220117,3,1-,1,2,2+,3-,3-,2+,17-,15,3,4,7,9.0,12.0,12.0,9.0,9.0
2939,20220118,5,3+,3,2,2+,3,3-,3,24+,48,18,15,7,9.0,15.0,12.0,15.0,17.0
2940,20220119,5+,5,3+,3,3,2,2,3,27-,56,48,18,15,15.0,7.0,7.0,15.0,23.0
2941,20220120,3+,0+,1-,0+,0+,1-,0+,0+,6+,18,2,3,2,2.0,3.0,2.0,2.0,4.0
2942,20220121,0+,0,1-,1,3-,3-,2+,3+,13,2,0,3,4,12.0,12.0,9.0,18.0,8.0
2943,20220122,2+,3,2,1,2+,2+,2-,3,18-,9,15,7,4,9.0,9.0,6.0,15.0,9.0
2944,20220123,3-,3,2,2,1+,1+,0,0+,13-,12,15,7,7,5.0,5.0,0.0,2.0,7.0
2945,20220124,0+,0,1-,0+,1+,1-,1,2,6+,2,0,3,2,5.0,3.0,4.0,7.0,3.0
2946,20220125,2+,3-,3,3-,3-,3+,3-,3+,23-,9,12,15,12,12.0,18.0,12.0,18.0,14.0
2947,20220126,2-,2+,2+,3-,2-,3-,2+,3,19-,6,9,9,12,6.0,12.0,9.0,15.0,10.0
2948,20220127,1-,1-,1-,1,2,1+,3,3-,12,3,3,3,4,7.0,5.0,15.0,12.0,6.0
2949,20220128,1+,2-,2-,1+,1,1-,2-,4-,13,5,6,6,5,4.0,3.0,6.0,22.0,7.0
2950,20220129,4,4,3,3,4-,1-,1-,1,20,27,27,15,15,22.0,3.0,3.0,4.0,14.0
2951,20220130,2+,3-,3,2,3-,2-,2-,3,19,9,12,15,7,12.0,6.0,6.0,15.0,10.0
2952,20220131,3-,3-,2-,3,2-,2+,1+,2,17+,12,12,6,15,6.0,9.0,5.0,7.0,9.0
2953,20220201,2-,2-,1-,1-,1+,1-,0+,3+,10+,6,6,3,3,5.0,3.0,2.0,18.0,6.0
2954,20220202,4,3-,1-,0+,2-,4-,2-,1+,16,27,12,3,2,6.0,22.0,6.0,5.0,10.0
2955,20220203,2,4+,5,5+,4,3,3,3-,29+,7,32,48,56,27.0,15.0,15.0,12.0,26.0
2956,20220204,4,4,4-,4-,4,5+,5,4,34-,27,27,22,22,27.0,56.0,48.0,27.0,32.0
2957,20220205,3-,3,2,2+,3,3-,3-,2-,20,12,15,7,9,15.0,12.0,12.0,6.0,11.0
2958,20220206,4-,3,3-,3,3,2-,3-,3-,22+,22,15,12,15,15.0,6.0,12.0,12.0,14.0
2959,20220207,2+,1+,1,2-,1,2+,1+,2,13,9,5,4,6,4.0,9.0,5.0,7.0,6.0
2960,20220208,1+,0+,1-,1-,1,1+,2,1,8+,5,2,3,3,4.0,5.0,7.0,4.0,4.0
2961,20220209,0+,0,0,0+,0+,0,0,2,3,2,0,0,2,2.0,0.0,0.0,7.0,2.0
2962,20220210,3-,3-,2,2,3-,5-,5,4+,26,12,12,7,7,12.0,39.0,48.0,32.0,21.0
2963,20220211,4,3,2,4,1+,3-,4+,4,25+,27,15,7,27,5.0,12.0,32.0,27.0,19.0
2964,20220212,3+,3,2+,2-,3-,3-,3+,3,22,18,15,9,6,12.0,12.0,18.0,15.0,13.0
2965,20220213,4-,3,2+,3-,3,3+,2+,3,23+,22,15,9,12,15.0,18.0,9.0,15.0,14.0
2966,20220214,3-,2-,2+,2-,1+,2,1+,1-,14-,12,6,9,6,5.0,7.0,5.0,3.0,7.0
2967,20220215,2,2,1-,1-,1-,1-,0+,0+,7+,7,7,3,3,3.0,3.0,2.0,2.0,4.0
2968,20220216,1,2,2-,1+,2+,3-,3,3-,17-,4,7,6,5,9.0,12.0,15.0,12.0,9.0
2969,20220217,2+,1+,1,1,1,0,1,1+,9,9,5,4,4,4.0,0.0,4.0,5.0,4.0
2970,20220218,0,0,1+,1+,2-,2-,3-,2,11-,0,0,5,5,6.0,6.0,12.0,7.0,5.0
2971,20220219,2+,3-,1+,1+,2,3-,1+,2+,16,9,12,5,5,7.0,12.0,5.0,9.0,8.0
2972,20220220,5-,3+,2+,2-,1-,2,3,2-,19+,39,18,9,6,3.0,7.0,15.0,6.0,13.0
2973,20220221,1-,1-,2,2+,4,3-,3,3-,18,3,3,7,9,27.0,12.0,15.0,12.0,11.0
2974,20220222,3,4+,5-,3+,2,0+,2,2-,21+,15,32,39,18,7.0,2.0,7.0,6.0,16.0
2975,20220223,1-,0+,2,2-,2,2,2-,2+,13-,3,2,7,6,7.0,7.0,6.0,9.0,6.0
2976,20220224,3-,3,2+,0+,0,0+,0,1+,10,12,15,9,2,0.0,2.0,0.0,5.0,6.0
2977,20220225,2,2+,3,3+,2+,0+,0,1,14+,7,9,15,18,9.0,2.0,0.0,4.0,8.0
2978,20220226,0,0,1-,0+,0,0,0,0,1,0,0,3,2,0.0,0.0,0.0,0.0,1.0
2979,20220227,1-,2-,4-,3+,3,3,2,1+,19-,3,6,22,18,15.0,15.0,7.0,5.0,11.0
2980,20220228,2-,2+,1+,2,2,2-,2,1+,14+,6,9,5,7,7.0,6.0,7.0,5.0,6.0
2981,20220301,2,2,2+,2,2+,2-,2+,2-,16+,7,7,9,7,9.0,6.0,9.0,6.0,8.0
2982,20220302,1-,1-,1-,2-,1-,1-,0+,1,6+,3,3,3,6,3.0,3.0,2.0,4.0,3.0
2983,20220303,0+,1-,0+,0+,1,1+,2,2+,8+,2,3,2,2,4.0,5.0,7.0,9.0,4.0
2984,20220304,3+,3-,2,2-,1+,2,2+,3+,19-,18,12,7,6,5.0,7.0,9.0,18.0,10.0
2985,20220305,3+,2-,2-,4-,5-,4,5-,5+,29,18,6,6,22,39.0,27.0,39.0,56.0,27.0
2986,20220306,5-,3,5-,3,3+,1,2-,2+,24-,39,15,39,15,18.0,4.0,6.0,9.0,18.0
2987,20220307,2+,2+,1-,1+,3,2+,2,1+,15+,9,9,3,5,15.0,9.0,7.0,5.0,8.0
2988,20220308,3-,2+,0+,1-,1-,0,1+,2,10,12,9,2,3,3.0,0.0,5.0,7.0,5.0
2989,20220309,3-,1-,1-,1,1,1-,0+,2-,9-,12,3,3,4,4.0,3.0,2.0,6.0,5.0
2990,20220310,2-,1-,1+,1+,1+,2+,4-,2+,15-,6,3,5,5,5.0,9.0,22.0,9.0,8.0
2991,20220311,4,3+,4,2+,3,3,3,4+,27,27,18,27,9,15.0,15.0,15.0,32.0,20.0
2992,20220312,5-,4+,2+,1,1,0+,1,1+,16,39,32,9,4,4.0,2.0,4.0,5.0,12.0
2993,20220313,1+,1-,0+,4,6-,5+,6-,6+,29+,5,3,2,27,67.0,56.0,67.0,94.0,40.0
2994,20220314,6-,3-,2-,2-,2-,2,1-,1,17,67,12,6,6,6.0,7.0,3.0,4.0,14.0
2995,20220315,1,1+,1-,0+,2-,2,1+,3,11+,4,5,3,2,6.0,7.0,5.0,15.0,6.0
2996,20220316,1-,0,1-,1+,2,2,2+,2,11,3,0,3,5,7.0,7.0,9.0,7.0,5.0
2997,20220317,2,2,2-,2-,1-,1-,0+,1-,10-,7,7,6,6,3.0,3.0,2.0,3.0,5.0
2998,20220318,2,0,0,0,1-,1-,1-,0+,4+,7,0,0,0,3.0,3.0,3.0,2.0,2.0
2999,20220319,1-,0+,2,2-,0+,1-,1+,2,9,3,2,7,6,2.0,3.0,5.0,7.0,4.0
3000,20220320,3,3+,2,1,1-,1,1-,3-,14+,15,18,7,4,3.0,4.0,3.0,12.0,8.0
3001,20220321,2,0,0+,0+,1-,1-,1-,1,6-,7,0,2,2,3.0,3.0,3.0,4.0,3.0
3002,20220322,2,3-,1+,0+,2-,2-,3+,2+,15+,7,12,5,2,6.0,6.0,18.0,9.0,8.0
3003,20220323,2,1,2-,1+,2-,2,2-,1-,12,7,4,6,5,6.0,7.0,6.0,3.0,6.0
3004,20220324,3+,3-,1+,2+,3+,2+,1,2-,18,18,12,5,9,18.0,9.0,4.0,6.0,10.0
3005,20220325,3,3-,1+,2,2,2-,2-,1-,15,15,12,5,7,7.0,6.0,6.0,3.0,8.0
3006,20220326,2,0+,1-,1+,0+,2,3,2,12-,7,2,3,5,2.0,7.0,15.0,7.0,6.0
3007,20220327,2-,2,2,3+,3-,4,4,3+,23,6,7,7,18,12.0,27.0,27.0,18.0,15.0
3008,20220328,4,4-,1+,1,1,1-,1-,1,13+,27,22,5,4,4.0,3.0,3.0,4.0,9.0
3009,20220329,1,2,2-,1+,2-,3-,2+,2+,15,4,7,6,5,6.0,12.0,9.0,9.0,7.0
3010,20220330,0,1-,1-,2-,0+,2,2,3+,11-,0,3,3,6,2.0,7.0,7.0,18.0,6.0
3011,20220331,5-,5-,4-,4-,5-,4+,2+,2+,30+,39,39,22,22,39.0,32.0,9.0,9.0,26.0
3012,20220401,3,3,3-,3+,4,3-,2+,2+,23+,15,15,12,18,27.0,12.0,9.0,9.0,15.0
3013,20220402,4-,5-,4,2-,2+,3-,4+,3-,26,22,39,27,6,9.0,12.0,32.0,12.0,20.0
3014,20220403,3,1+,1,0+,2-,3-,2+,2,14+,15,5,4,2,6.0,12.0,9.0,7.0,8.0
3015,20220404,4-,4-,3-,2,2-,2,2+,0+,18+,22,22,12,7,6.0,7.0,9.0,2.0,11.0
3016,20220405,1+,2,2,2-,1+,1+,1+,1,12,5,7,7,6,5.0,5.0,5.0,4.0,6.0
3017,20220406,3-,1,1+,1+,1,2-,1,1+,11+,12,4,5,5,4.0,6.0,4.0,5.0,6.0
3018,20220407,1+,4-,3-,3-,2,2+,2,3-,19+,5,22,12,12,7.0,9.0,7.0,12.0,11.0
3019,20220408,3+,2+,2-,1-,1,1+,2-,2,14,18,9,6,3,4.0,5.0,6.0,7.0,7.0
3020,20220409,4-,4-,4-,3-,3+,4-,3-,1-,24,22,22,22,12,18.0,22.0,12.0,3.0,17.0
3021,20220410,2+,7-,5+,4-,2+,2,2,3-,27,9111,56,22,9,7.0,7.0,12.0,29.0,
3022,20220411,4-,4-,3-,2+,2-,1+,2,1,18+,22,22,12,9,6.0,5.0,7.0,4.0,11.0
3023,20220412,2,1,0,2,3+,4-,3,3-,18-,7,4,0,7,18.0,22.0,15.0,12.0,11.0
3024,20220413,3,3,3+,2-,1,0,0,2-,14-,15,15,18,6,4.0,0.0,0.0,6.0,8.0
3025,20220414,3+,3+,4,5-,4+,6,6-,4+,36-,18,18,27,39,32.0,80.0,67.0,32.0,39.0
3026,20220415,5,4+,3,4,4,4-,2,2+,28+,48,32,15,27,27.0,22.0,7.0,9.0,23.0
3027,20220416,2-,1+,1+,1,3-,2+,2-,2+,14+,6,5,5,4,12.0,9.0,6.0,9.0,7.0
3028,20220417,3-,3,2,2-,3-,3,2-,2,19-,12,15,7,6,12.0,15.0,6.0,7.0,10.0
3029,20220418,1+,2+,2+,2,1,2+,3+,2-,16+,5,9,9,7,4.0,9.0,18.0,6.0,8.0
3030,20220419,3,2+,1+,1+,2,1,0+,1-,12,15,9,5,5,7.0,4.0,2.0,3.0,6.0
3031,20220420,3,1+,2,1+,0+,1+,2,3+,15-,15,5,7,5,2.0,5.0,7.0,18.0,8.0
3032,20220421,3-,3-,3,2-,3-,2-,2-,1+,17+,12,12,15,6,12.0,6.0,6.0,5.0,9.0
3033,20220422,1+,2+,1-,1+,2-,2,2,1+,13-,5,9,3,5,6.0,7.0,7.0,5.0,6.0
3034,20220423,2,2-,1+,3+,3,2+,3-,3+,20-,7,6,5,18,15.0,9.0,12.0,18.0,11.0
3035,20220424,2,2,2,1-,1-,1+,1,0,10-,7,7,7,3,3.0,5.0,4.0,0.0,4.0
3036,20220425,0,0+,1,2-,1,1,2-,1-,7+,0,2,4,6,4.0,4.0,6.0,3.0,4.0
3037,20220426,0,0,1-,0+,1,1,0+,0+,4-,0,0,3,2,4.0,4.0,2.0,2.0,2.0
3038,20220427,1+,2-,1+,1,5,4+,3,4-,21+,5,6,5,4,48.0,32.0,15.0,22.0,17.0
3039,20220428,4-,3+,3+,2-,2,3-,3,3,23-,22,18,18,6,7.0,12.0,15.0,15.0,14.0
3040,20220429,3+,4-,2,2,3-,2+,3-,2,21-,18,22,7,7,12.0,9.0,12.0,7.0,12.0
3041,20220430,4+,4,3,2+,2,3,2-,2,22+,32,27,15,9,7.0,15.0,6.0,7.0,15.0
3042,20220501,3,3-,2+,1+,2-,1+,2-,2-,16-,15,12,9,5,6.0,5.0,6.0,6.0,8.0
3043,20220502,3-,1,1-,0,0+,1+,2-,1-,8+,12,4,3,0,2.0,5.0,6.0,3.0,4.0
3044,20220503,2-,2-,2-,1,2-,1,1,2+,12,6,6,6,4,6.0,4.0,4.0,9.0,6.0
3045,20220504,2-,2-,2,2-,1+,0+,1,2,12-,6,6,7,6,5.0,2.0,4.0,7.0,5.0
3046,20220505,0+,1+,1,0,1-,1+,1,1-,6+,2,5,4,0,3.0,5.0,4.0,3.0,3.0
3047,20220506,0,0+,2-,1,1,1+,1,0+,7-,0,2,6,4,4.0,5.0,4.0,2.0,3.0
3048,20220507,0,0,0,0+,1-,0+,0,1,2+,0,0,0,2,3.0,2.0,0.0,4.0,1.0
3049,20220508,2-,1,1,1+,2,2-,1,2-,11+,6,4,4,5,7.0,6.0,4.0,6.0,5.0
3050,20220509,2+,3,2,1+,1+,1,1,0+,12+,9,15,7,5,5.0,4.0,4.0,2.0,6.0
3051,20220510,0,0+,0,0,1+,1+,0+,1,4+,0,2,0,0,5.0,5.0,2.0,4.0,2.0
3052,20220511,1+,1,1-,0+,1,2,2,2,10+,5,4,3,2,4.0,7.0,7.0,7.0,5.0
3053,20220512,2,2,1,0+,3-,3-,3-,1+,15-,7,7,4,2,12.0,12.0,12.0,5.0,8.0
3054,20220513,2,1-,1,1+,2-,1,2+,3-,13-,7,3,4,5,6.0,4.0,9.0,12.0,6.0
3055,20220514,2-,1,1,1,1,3-,2+,2,13-,6,4,4,4,4.0,12.0,9.0,7.0,6.0
3056,20220515,3+,3+,2+,2-,2,2+,2-,1-,17+,18,18,9,6,7.0,9.0,6.0,3.0,10.0
3057,20220516,1+,3,3,3-,2,2,2,1-,17-,5,15,15,12,7.0,7.0,7.0,3.0,9.0
3058,20220517,1-,3-,3,3-,3+,2,2+,2,19-,3,12,15,12,18.0,7.0,9.0,7.0,10.0
3059,20220518,3,2-,0+,1+,1-,1,1,2,11,15,6,2,5,3.0,4.0,4.0,7.0,6.0
3060,20220519,2+,3-,3-,1+,2,2-,2,2+,17,9,12,12,5,7.0,6.0,7.0,9.0,8.0
3061,20220520,1+,3-,2-,2+,2,4-,2+,3,19,5,12,6,9,7.0,22.0,9.0,15.0,11.0
3062,20220521,3-,3-,2,1,3,4-,2+,1-,18,12,12,7,4,15.0,22.0,9.0,3.0,10.0
3063,20220522,4-,3,3,2,2+,2-,1+,1-,18-,22,15,15,7,9.0,6.0,5.0,3.0,10.0
3064,20220523,1+,1,2+,2,0+,0+,0,0,7+,5,4,9,7,2.0,2.0,0.0,0.0,4.0
