,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
131,20140512,2-,2,2,2+,2,1+,2-,1+,14+,6,7,7,9,7.0,5.0,6.0,5.0,6.0
132,20140513,0+,1-,1,1,1-,0+,1-,1-,5+,2,3,4,4,3.0,2.0,3.0,3.0,3.0
133,20140514,1+,1,0+,0+,2,2-,1-,1+,9-,5,4,2,2,7.0,6.0,3.0,5.0,4.0
134,20140515,1-,1,1-,1,1-,1+,2-,1,8,3,4,3,4,3.0,5.0,6.0,4.0,4.0
135,20140516,1+,1+,0+,0+,2-,2,2-,0,9-,5,5,2,2,6.0,7.0,6.0,0.0,4.0
136,20140517,1+,1-,0+,1-,0+,0+,0+,0+,4+,5,3,2,3,2.0,2.0,2.0,2.0,3.0
137,20140518,1,1+,1-,1-,1+,2-,1-,1,8+,4,5,3,3,5.0,6.0,3.0,4.0,4.0
138,20140519,0+,1,1-,0+,1,1+,1-,2-,7,2,4,3,2,4.0,5.0,3.0,6.0,4.0
139,20140520,0+,1,1,1+,1+,1,0+,0,6+,2,4,4,5,5.0,4.0,2.0,0.0,3.0
140,20140521,0+,0,0,0+,0+,0+,0+,0+,2,2,0,0,2,2.0,2.0,2.0,2.0,2.0
141,20140522,1,1,1-,1-,2,3+,2+,3+,14+,4,4,3,3,7.0,18.0,9.0,18.0,8.0
142,20140523,3,2-,1+,0+,1,4-,4,5+,20+,15,6,5,2,4.0,22.0,27.0,56.0,17.0
143,20140524,2-,1+,2-,0+,1+,1,1-,1,9,6,5,6,2,5.0,4.0,3.0,4.0,4.0
144,20140525,1+,1+,1-,0+,0+,1+,0+,0,6-,5,5,3,2,2.0,5.0,2.0,0.0,3.0
145,20140526,1,1-,1,1-,0+,0+,0+,0+,5-,4,3,4,3,2.0,2.0,2.0,2.0,3.0
146,20140527,0,0,0+,1-,1,1,2-,1,6-,0,0,2,3,4.0,4.0,6.0,4.0,3.0
147,20140528,1+,1+,0+,1-,1-,1,1-,1,7,5,5,2,3,3.0,4.0,3.0,4.0,4.0
148,20140529,0+,1-,1-,3-,2,2,2,1,11+,2,3,3,12,7.0,7.0,7.0,4.0,6.0
149,20140530,0,1+,1+,2+,2+,3-,4+,1+,16-,0,5,5,9,9.0,12.0,32.0,5.0,10.0
150,20140531,1,1,0+,0+,0+,0+,1-,0,4,4,4,2,2,2.0,2.0,3.0,0.0,2.0
151,20140601,1-,0,1-,1,0+,1-,0+,1-,4+,3,0,3,4,2.0,3.0,2.0,3.0,2.0
152,20140602,0+,1-,0+,0+,0+,1-,1+,2+,6+,2,3,2,2,2.0,3.0,5.0,9.0,4.0
153,20140603,3+,2,1-,1,1-,1+,1+,1-,11,18,7,3,4,3.0,5.0,5.0,3.0,6.0
154,20140604,1+,1+,1+,1,1,1+,1,2,10+,5,5,5,4,4.0,5.0,4.0,7.0,5.0
155,20140605,2-,1,1+,2+,1+,1,2+,3-,14-,6,4,5,9,5.0,4.0,9.0,12.0,7.0
156,20140606,2,1+,0+,0,0+,2-,2-,2-,9,7,5,2,0,2.0,6.0,6.0,6.0,4.0
157,20140607,1+,1+,2,1+,2-,4,4-,4,19+,5,5,7,5,6.0,27.0,22.0,27.0,13.0
158,20140608,3,6-,6+,5,5-,4,3-,2-,33,15,67,94,48,39.0,27.0,12.0,6.0,38.0
159,20140609,0+,1-,2,2-,1-,1-,2+,1-,9,2,3,7,6,3.0,3.0,9.0,3.0,4.0
160,20140610,1-,1,1+,2,2+,2,2,2,13+,3,4,5,7,9.0,7.0,7.0,7.0,6.0
161,20140611,2-,2-,1,2+,2,2,1+,1,13,6,6,4,9,7.0,7.0,5.0,4.0,6.0
162,20140612,1-,1+,0+,0+,0+,1-,1-,1-,5,3,5,2,2,2.0,3.0,3.0,3.0,3.0
163,20140613,1,0+,1-,1-,2-,1+,1+,1+,8+,4,2,3,3,6.0,5.0,5.0,5.0,4.0
164,20140614,2,2,3-,1+,1,1+,2,1,13+,7,7,12,5,4.0,5.0,7.0,4.0,6.0
165,20140615,1,0+,1,1,1,1-,0+,1-,6,4,2,4,4,4.0,3.0,2.0,3.0,3.0
166,20140616,1-,1+,1,1-,2,2-,1,1,9+,3,5,4,3,7.0,6.0,4.0,4.0,4.0
167,20140617,2,1+,2+,1,1+,1,2+,3+,15-,7,5,9,4,5.0,4.0,9.0,18.0,8.0
168,20140618,3,2,2+,2,2-,3+,4,5-,23,15,7,9,7,6.0,18.0,27.0,39.0,16.0
169,20140619,3-,3,3-,1+,1+,2-,2,2,17-,12,15,12,5,5.0,6.0,7.0,7.0,9.0
170,20140620,1+,1,2+,2,3-,3,1+,2,16-,5,4,9,7,12.0,15.0,5.0,7.0,8.0
171,20140621,2-,2,2,2-,1-,1-,0,1-,9+,6,7,7,6,3.0,3.0,0.0,3.0,4.0
172,20140622,0+,1,1-,0+,1-,1-,1,1+,6,2,4,3,2,3.0,3.0,4.0,5.0,3.0
173,20140623,0+,0+,0+,0+,0+,0+,0+,3,5+,2,2,2,2,2.0,2.0,2.0,15.0,4.0
174,20140624,2+,3-,2-,1-,0+,1-,2-,1-,11-,9,12,6,3,2.0,3.0,6.0,3.0,6.0
175,20140625,1-,1-,1+,1,1,2-,1,2,9+,3,3,5,4,4.0,6.0,4.0,7.0,4.0
176,20140626,0+,0+,1-,1+,2+,1,1-,0,7-,2,2,3,5,9.0,4.0,3.0,0.0,4.0
177,20140627,1,0+,0,0+,1-,1-,1+,1-,5,4,2,0,2,3.0,3.0,5.0,3.0,3.0
178,20140628,1,1+,1-,1,3-,2+,1,1-,11-,4,5,3,4,12.0,9.0,4.0,3.0,6.0
179,20140629,3-,1+,1,1-,1-,0+,2-,3,11+,12,5,4,3,3.0,2.0,6.0,15.0,6.0
180,20140630,3,1,1-,0+,1-,1+,1,1-,9-,15,4,3,2,3.0,5.0,4.0,3.0,5.0
181,20140701,1-,1+,1-,0+,0+,1-,0+,0+,5-,3,5,3,2,2.0,3.0,2.0,2.0,3.0
182,20140702,0,1,1+,1,1,2-,1-,1-,7+,0,4,5,4,4.0,6.0,3.0,3.0,4.0
183,20140703,2,2,2,2,2-,1-,0+,0+,11,7,7,7,7,6.0,3.0,2.0,2.0,5.0
184,20140704,1+,1,1+,1+,2-,0+,0+,1-,8,5,4,5,5,6.0,2.0,2.0,3.0,4.0
185,20140705,0,0,0+,0+,0+,1-,2,1+,5,0,0,2,2,2.0,3.0,7.0,5.0,3.0
186,20140706,1-,0+,0+,1+,1-,1-,1-,1+,6,3,2,2,5,3.0,3.0,3.0,5.0,3.0
187,20140707,2,1-,1-,1+,2,2,2-,1-,11,7,3,3,5,7.0,7.0,6.0,3.0,5.0
188,20140708,1+,1,1,1,2+,2-,2-,2-,12-,5,4,4,4,9.0,6.0,6.0,6.0,6.0
189,20140709,2-,1+,2-,1,1,2-,3-,3-,14-,6,5,6,4,4.0,6.0,12.0,12.0,7.0
190,20140710,3,2+,2-,1,1+,2-,1+,1+,14-,15,9,6,4,5.0,6.0,5.0,5.0,7.0
191,20140711,1,1-,1+,1+,1+,2-,2,1+,11-,4,3,5,5,5.0,6.0,7.0,5.0,5.0
192,20140712,1+,2,2,2-,2+,1,0+,0,11-,5,7,7,6,9.0,4.0,2.0,0.0,5.0
193,20140713,1+,1+,1-,2-,1-,1-,1-,2,9,5,5,3,6,3.0,3.0,3.0,7.0,4.0
194,20140714,1-,0+,1,1+,3+,3,3-,2+,15-,3,2,4,5,18.0,15.0,12.0,9.0,8.0
195,20140715,2-,2-,2,2+,2+,1+,1,1+,14-,6,6,7,9,9.0,5.0,4.0,5.0,6.0
196,20140716,1-,1,1+,0+,1+,1,1+,1-,8-,3,4,5,2,5.0,4.0,5.0,3.0,4.0
197,20140717,0+,1,1,0+,1-,1-,2-,1,7-,2,4,4,2,3.0,3.0,6.0,4.0,4.0
198,20140718,1-,1-,1-,1-,0+,0,0,0+,3+,3,3,3,3,2.0,0.0,0.0,2.0,2.0
199,20140719,0,0+,0+,1,0+,0,0,0,2,0,2,2,4,2.0,0.0,0.0,0.0,1.0
200,20140720,1-,0+,0+,0,1+,1-,0,1-,4,3,2,2,0,5.0,3.0,0.0,3.0,2.0
201,20140721,0+,0,0,0+,1+,1+,2-,2-,7-,2,0,0,2,5.0,5.0,6.0,6.0,3.0
202,20140722,2+,1-,1-,1-,1+,1,0+,2-,9-,9,3,3,3,5.0,4.0,2.0,6.0,4.0
203,20140723,0+,0+,0+,0+,0+,1,3-,2+,8-,2,2,2,2,2.0,4.0,12.0,9.0,4.0
204,20140724,1-,1,1+,2,2,1,1,1-,10-,3,4,5,7,7.0,4.0,4.0,3.0,5.0
205,20140725,3-,1+,2,1+,1,1-,1-,0+,10,12,5,7,5,4.0,3.0,3.0,2.0,5.0
206,20140726,1+,2-,2-,2-,2-,2,2,1-,13-,5,6,6,6,6.0,7.0,7.0,3.0,6.0
